initial_state,heuristic,final_state,cost,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,hc,281365479537284186649971352362817945197543628485296713953178467716459832824632591,10,16,1.0650831689628169
009000700000800006230910000002008007300000020900040000190600270000280040000005108,hc,689574732541823916237916854812358497374169625965742381198647273756281549423935168,9,18,1.0777218468638639
406010000020000100500207000600001800000030509080000300030060210000000050000350408,hc,436518792827963154519247683654691827173832549982475361935764213748128956261359478,10,15,0.9304501604001425
000189003400030200000042000002000000000000598000000170700000040010790030040003005,hc,276189453489735216135642879952817364847263598361954172723586941518791632649423785,11,16,1.1031285361142547
000000000050930000000042000206000010004860090190000030508100076000000053001004000,hc,812786349457931265639542781276915614384862597195473238528139476963827153741654892,14,17,1.0972609753430893
000604030005003090002000000000000000090720000300008906080501000004007520010000700,hc,789654231165873497432912865627435182891729354345168976283581649574697523916243718,13,16,1.0518280460693745
039010000000073080708000105005000008001900000360000000024000009000080320000001800,hc,239518467416973382758264195945346718871952236362187549624735159187489326593621874,12,16,1.0122493442216394
840000001070000400000000050000000504003604010000000609400902000900851000205007008,hc,842739961679518423351264857928173584563694217174825639487932165936851742215647398,12,20,1.312197166397481
004100060061000057002000004009000000020309000050000089005010300800007000003056000,hc,594132168761984357832765924649578213128349756357621489675213349812497865493856271,14,18,1.1711143743238885
080701000001000090730500041070000006205003000800000730000000500000150600000620004,hc,985721683261834795734596241671248956295673841843519732416987538329154627578623914,21,16,1.0021915575036076
008070000000100300000060207502000000300080070000020630000051040100000008600040700,hc,768372519925148346431965287542691825316583974879427631284751643157236198693849752,13,17,1.1073965399080343
085040900000000000029350000300000060000401000007090010060000000090030570000120800,hc,185746943734289156629351782316825467952471398847693215561598624298634571473127839,12,17,1.097190753058447
080060024005102000000050800000090000000000150340000600070200090000008301050009070,hc,184967324735182769692453815516894932827536157349721648478215596263478381951639274,15,20,1.2581620072551178
000000070710000200800602950050040080930000020000080603000000002000864000001003006,hc,629514378715798264843632951257146489936327125184985673468971532352864197971253846,12,17,1.0367324770955353
000000000000904000094006020070050060009080000002003504000070040000000036780000000,hc,125328647638974185794516329476251963359789812812463574562173948941852736783694251,15,16,1.1446281285583364
000001600400080003050060001020000800000020010900700065080205079000007080090040006,hc,892371652416589743753462891123954827567823419948716365684235179371697284295148536,10,19,1.0960689742835328
