initial_state,heuristic,final_state,cost,explored,time
200060000007004086000001300000000040090000000480000710900078000000050002020600501,sa,249865174157934286368721359712386945593147628486592713935278467671459832824613591,4,4000,2.564369834995409
009000700000800006230910000002008007300000020900040000190600270000280040000005108,sa,859463712741852936236917854412398567385176429967542381198634275574289643623715198,4,4000,2.9320728285091806
406010000020000100500207000600001800000030509080000300030060210000000050000350408,sa,496513782827694135531287694653921847174836529289475361935768213748142956162359478,4,4000,2.381635005897783
000189003400030200000042000002000000000000598000000170700000040010790030040003005,sa,267189453498537216531642789152978364673421598984365172729256841815794637346813925,3,4000,2.501429334603854
000000000050930000000042000206000010004860090190000030508100076000000053001004000,sa,829516347457938261613742589286493715374861892195275634538129476942687153761354928,2,4000,2.408072362730989
000604030005003090002000000000000000090720000300008906080501000004007520010000700,sa,179684235865123497342579618451396872698725143327418956287541369934867521516932784,4,4000,2.4018652461024423
039010000000073080708000105005000008001900000360000000024000009000080320000001800,sa,239816647416573982758429135975362458841957263362148791624734519197685324583291876,6,4000,2.3369158550363167
840000001070000400000000050000000504003604010000000609400902000900851000205007008,sa,849716321371285496652439857796123584583694712124578639438962175967851243215347968,2,4000,2.335320298062488
004100060061000057002000004009000000020309000050000089005010300800007000003056000,sa,594178263361942857782563914139685472428379631657421589275814396816237745943956128,6,4000,2.262081121849885
080701000001000090730500041070000006205003000800000730000000500000150600000620004,sa,984731265561842397732569841173286456265473189849915732612394578497158623358627914,4,4000,2.207070850729643
008070000000100300000060207502000000300080070000020630000051040100000008600040700,sa,458273961726195384913468257572316824369984175841527639298751643147632598635849712,6,4000,2.5957263073122725
085040900000000000029350000300000060000401000007090010060000000090030570000120800,sa,785642931634917285129358647312765469956481723847293518468579132291836574573124896,4,4000,2.321936286165588
080060024005102000000050800000090000000000150340000600070200090000008301050009070,sa,189963724735142965264857813517698432698324157342571689473216598926758341851439276,5,4000,3.0247480219982457
000000070710000200800602950050040080930000020000080603000000002000864000001003006,sa,562391874719458263843672951154246789936137425287985613678519342325864197491723586,5,4000,2.667815704725072
000000000000904000094006020070050060009080000002003504000070040000000036780000000,sa,613728495528934617794516823875152369369487281142693574936275148251849736784361952,5,4000,3.270658462807525
000001600400080003050060001020000800000020010900700065080205079000007080090040006,sa,732951648416782593859364721625419837378526914941738265184265379563197482297843156,2,4000,2.3172913931479044
020070108000800000005004000000000300100037902047000000506001000089025004000008000,sa,423673198671859423895214567952486371168537942347192856536741289789325614214968735,2,4000,2.3262047344042074
000050000650090000400700060009030006000201070003000024000002010006000080040609000,sa,387156492652498731491723865829937156564241378173865924938512617216374589745689243,4,4000,2.5876378556780963
200080070008002000000050010040000708000000500003400090060000007901300000000071630,sa,214683975758192463396754218149526738627938541583417692462849157971365824835271639,5,4000,2.3412194144172602
900700500000600040800000039000173000003060070006000200009000000000400605001052400,sa,934721586215638742867549139528173964493265871176894253749916328352487615681352497,4,4000,2.422211041965376
006001007102005060000730000003800009000024103000000075080000200007040000500010000,sa,936421857172985364854736912613857429795624183248193675481579236367248591529316748,2,4000,2.342298526487575
000002000800000500032070000000930004060000080000760100400090000201300007009510802,sa,714652238896843571532179496125938764967421385483765129458297613261384957379516842,5,4000,2.693041949370624
603020050080000004001095060004000003090018000000600900200700000000000040005000801,sa,643827157587163294921495368874952713196318425352674986218746539739581642465239871,5,4000,2.2849331421627923
900034700000000030000080020680150000090603000007000900201000800000000467000700002,sa,956234781128967534743581629684159273592673148317428956271346895935812467864795312,2,4000,2.515453347069638
900105000050000060100380020041036080002000000000020057000050000090000500600200310,sa,924165738358742961176389425741536289562978143839421657417653892293814576685297314,0,4000,2.1591263636678804
000090200000400030000007050290060000000001000100003004004020080907000046006300000,sa,634895217579412638182637459298564173743981562165273894354726981927158346816349725,2,4000,2.3973612420988815
000000100000009070615007000000006000000300009570020010000030086790040023800000000,sa,947253168382619475615487392231596837468371259579824614124735986796148523853962741,2,4000,2.251363778990026
000000800740200009000040016000570000260000304008000000003001000105380060680000000,sa,326195847741286539859743216934572618267918354518634972493261785175389462682457193,4,4000,2.313170056151151
003008095500001004000004320060000800005000060800002007000300000700050603080000200,sa,423768195569231784178594326367945812295173465841682937954326178712859643683417259,6,4000,2.2344388750567816
000072090060900200005000001270801000000750006006000400800090570000300000000005040,sa,328172694761934258495568731279841385143753926586629417812496573954387162637215849,5,4000,2.365393658127701
000060001009003070008070090000100200600000004020006710200080000403000128000940000,sa,572869341649213875318574692734198256681725934925436718256381497493657128817942563,4,4000,2.1213112189433048
003205006005000000700001900480000010006500209501020000000000040000068003000042100,sa,143295786895476321762831954487314615926587239531629478679153842214768593358942167,4,4000,2.221263752234435
000080009502900000000014000000406008047000000060000300006003000000200050104809060,sa,473582619512967834689314725925436178347821596861795342296153487738246951154879263,2,4000,2.292940704836184
500008090020041000001030000040300800005400063007005000900200745000100006070000900,sa,564728391329641587781539624142367859895412463637895172913286745458173216276954938,4,4000,2.1331912295033106
050010007401000900000060205000000800015000000027500091090002000700940000000050680,sa,256319847481275936379468215643791852915824763827536491591682374768943125432157689,4,4000,2.4454981737761585
000009040050040290700000000100700000009080007000004361000500120000090000003006004,sa,231859746658347291794612538124763859369185427785924361946538127872491635513276984,6,4000,2.5281742472660085
400010000000540000863700000001004000002006470000030002000001064500000019020000750,sa,459613827217548693863729145791284536382956471645137982936871264578462319124395758,2,4000,2.300145600129426
000000900000012000009007062600000800000009050250300000007800009000000508160000307,sa,812436975576912483349587162694725831738169254251348796487853629923671548165294317,2,4000,2.3626763223789453
